timestamp;engine;model;id;question;answer;latency_s;prompt_tokens;completion_tokens;total_tokens;top_k;sources
2025-11-12T13:49:26;gemini;gemini-2.0-flash;Q1;Qual o preço do Notebook X2000?;3500.0;0.865;1276;6;1282;26;produtos.csv
2025-11-12T13:49:28;gemini;gemini-2.0-flash;Q2;Quantas unidades do Smartphone Alpha estão em estoque?;120.0;1.838;993;5;998;26;empresa.csv|produtos.csv
2025-11-12T13:49:29;gemini;gemini-2.0-flash;Q3;Em que ano a Tech Solutions foi fundada?;2015;1.627;791;4;795;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:30;gemini;gemini-2.0-flash;Q4;Quem é o dono da empresa? ;Carlos Henrique Souza;0.727;665;3;668;26;empresa.csv|produtos.csv
2025-11-12T13:49:31;gemini;gemini-2.0-flash;Q5;Qual o endereço da sede da Tech Solutions?;Av. Paulista 1000 - São Paulo - SP;1.379;862;13;875;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:33;gemini;gemini-2.0-flash;Q6;Qual o horário de funcionamento aos sábados? ;Sábado das 9h às 14h;1.111;882;10;892;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:34;gemini;gemini-2.0-flash;Q7;Quais formas de pagamento a empresa aceita?;Cartão de Crédito,  Cartão de Débito ,  Boleto ,  Pix,  Transferência Bancária;1.113;666;21;687;26;empresa.csv|produtos.csv
2025-11-12T13:49:35;gemini;gemini-2.0-flash;Q8;A empresa possui certificações?;ISO 9001,  ISO 27001;1.429;650;14;664;26;empresa.csv|servicos.csv
2025-11-12T13:49:37;gemini;gemini-2.0-flash;Q9;Qual é a política de troca de produtos?;Troca em até 30 dias com nota fiscal;1.498;1117;11;1128;26;empresa.csv|produtos.csv
2025-11-12T13:49:38;gemini;gemini-2.0-flash;Q10;Quais são as filiais localizadas no estado de Santa Catarina?;Filial 4: Av. Brasil 1234 - Balneário Camboriú - SC - Filial 3: Rua XV de Novembro 890 - Florianópolis - SC;1.356;1059;42;1101;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:39;gemini;gemini-2.0-flash;Q11;Qual o preço da Cadeira Ergonômica Pro? ;899.9;0.769;1047;5;1052;26;empresa.csv|produtos.csv
2025-11-12T13:49:40;gemini;gemini-2.0-flash;Q12;Quantos funcionários a empresa possui?;48;0.955;651;2;653;26;empresa.csv|servicos.csv
2025-11-12T13:49:41;gemini;gemini-2.0-flash;Q13;Quais são os principais clientes da Tech Solutions? ;Universidade XPTO ,  Hospital Central ,  Prefeitura Municipal de São Paulo;1.275;819;13;832;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:42;gemini;gemini-2.0-flash;Q14;Qual o preço do serviço de Consultoria em TI? ;500.0;0.834;895;5;900;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:44;gemini;gemini-2.0-flash;Q15;Qual a garantia dos produtos eletrônicos?;12 meses para eletrônicos;1.402;1265;6;1271;26;empresa.csv|produtos.csv
2025-11-12T13:49:45;gemini;gemini-2.0-flash;Q16;Qual o tempo médio de entrega de um pedido? ;3 a 7 dias úteis;0.857;896;6;902;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:46;gemini;gemini-2.0-flash;Q17;Quais canais de venda a Tech Solutions oferece? ;Loja Física,  Loja Virtual ,  Marketplace,  Telefone, WhatsApp;0.788;806;12;818;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:46;gemini;gemini-2.0-flash;Q18;Qual o preço da Impressora Multifuncional Laser? ;1350.0;0.765;970;6;976;26;empresa.csv|produtos.csv
2025-11-12T13:49:47;gemini;gemini-2.0-flash;Q19;Quantas unidades do Drone 4K Pro estão disponíveis em estoque? ;5.0;0.81;1294;3;1297;26;produtos.csv
2025-11-12T13:49:48;gemini;gemini-2.0-flash;Q20;Qual o preço do serviço de Backup em Nuvem? ;90.0;0.741;924;4;928;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:49;gemini;gemini-2.0-flash;Q21;Quais são as transportadoras parceiras da empresa? ;Correios,  Jadlog ,  Azul Cargo,  Transportadora XPTO;800;669;15;684;26;empresa.csv|produtos.csv
2025-11-12T13:49:50;gemini;gemini-2.0-flash;Q22;Qual o preço do Monitor 27 Ultra HD? ;1899.0;0.731;1234;6;1240;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:51;gemini;gemini-2.0-flash;Q23;Quantos Servidores Rack 2U estão disponíveis? ;8.0;0.8;1074;3;1077;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:49:51;gemini;gemini-2.0-flash;Q24;Qual o preço do Mouse Sem Fio MX?;199.9;0.723;949;6;955;26;empresa.csv|produtos.csv|servicos.csv
